n,key,url,model_category,model_spec_areas,model_confidence,model_rationale,your_label,notes,summary,description,issuetype,components,labels,links
60,JAVA-489,https://jira.mongodb.org/browse/JAVA-489,not_relevant,cursors,medium,,driver_spec_nonconformance,,Add DBCursor.count(boolean foundOnly),"At this moment it's impossible to get the number of results with skip and limit applied:
http://api.mongodb.org/java/2.7.0/com/mongodb/DBCursor.html#count()

At the same time [PHP|http://www.php.net/manual/en/mongocursor.count.php] and [Python|http://api.mongodb.org/python/2.0.1/api/pymongo/cursor.html#pymongo.cursor.Cursor.count] have this ability.",Improvement,,,
61,CDRIVER-3575,https://jira.mongodb.org/browse/CDRIVER-3575,cross_driver_inconsistency,write-concern,high,Cross-driver inconsistency in write-concern.,not_relevant,,"Ensure that the WriteConcernError ""errInfo"" object is propagated",See DRIVERS-967 for details.,Improvement,,,Depends:DRIVERS-967
62,RUBY-2976,https://jira.mongodb.org/browse/RUBY-2976,driver_spec_nonconformance,crud,high,CRUD spec requires error for empty bulk write operation list,driver_spec_nonconformance,,Raise an error on empty list of operations to BulkWrite,"Currently, the Ruby Driver allows applications to send the empty list to the Bulk Write operation. The spec states that drivers should raise an error in this case. 
https://github.com/mongodb/specifications/blob/master/source/crud/crud.rst#insert-update-replace-delete-and-bulk-writes",Improvement,Spec Comp,,Related:RUBY-3087
63,NODE-3881,https://jira.mongodb.org/browse/NODE-3881,cross_driver_inconsistency,none,medium,References another driver behavior or linked ticket,not_relevant,,Require hello command + OP_MSG when 'loadBalanced=True',"This ticket was split from {{{}DRIVERS-2033{}}}, please see that ticket for a detailed description.
h3. *Acceptance Criteria*

**

*Implementation Requirements*
When performing an initial handshake send the hello command instead of the legacy hello command if loadBalanced option is specified. Also send command OP_MSG instead of OP_QUERY.

*Testing Requirements*
 - prepareHandshakeDocument sets the hello parameter to 1 when loadBalanced is true
 - prepareHandshakeDocument sets the legacy hello parameter to 1 when serverApi and loadBalanced are not present
 - add a unit test for a load-balanced to verify that the first command is sent as OP_MSG 
 - add a unit test for a not load-balanced to verify that the first command is sent as OP_QUERY 

*Documentation Requirements*
None

*Follow Up Requirements*
None",Improvement,,prioritized|spec-compliance,Issue split:DRIVERS-2033|Related:CLOUDP-194714
64,CSHARP-1589,https://jira.mongodb.org/browse/CSHARP-1589,avoidable_by_spec_conformance,crud,low,"spec area bug, prevention unclear",not_relevant,,OfType doesn't work for an embedded array.,"please find method which calls to get people entries with casting to derived class object



var people = database.GetDatabase(""Test"") .GetCollection<Person>(""People"").AsQueryable();
            var x = people.Where(z => z.Addresses.OfType<Email>().Any(e => e.MailTo == ""not@home.com""));
 throws an exception:
""The method OfType is not supported in the expression tree: {document}{Addresses}.OfType().""

class Person
        {
            public List<Address> Addresses { get; set; }
        }
        class Address
        {
        }
        class Phone : Address
        {
            public string Number { get; set; }
        }
        class Email : Address
        {
            public string MailTo { get; set; }
        }
            ",Bug,API,driver,
65,CDRIVER-927,https://jira.mongodb.org/browse/CDRIVER-927,avoidable_by_spec_conformance,bson,low,Touches spec area but lacks clear nonconformance.,not_relevant,,"libbson streaming writer docs are unclear, perhaps misleading","I'm trying to use libbson's streaming interface to write a sequence of records as described in [this StackOverflow question|http://stackoverflow.com/questions/33025818/how-to-use-libbson-streaming-writer-t-interface-to-write-bson-with-list-of-recor].  The streaming docs say the following:

{quote}
Libbson provides mechanisms to stream BSON documents to and from file-descriptors. This can be convenient if you want to do stream oriented processing.
{quote}

I do see that the reader interface, via {{bson_reader_new_from_file}}, does allow for reading from a file, but I see no similar interface for writing to a file as the docs suggest.

My code sample in the SO question shows some working code for writing from the {{bson_writer_t}}'s buffer, but when dealing with an arbitrary number of sub-documents, this would mean I'd have to use one writer for the entire parent document, meaning the buffer can grow arbitrarily large and undermine the whole point of streaming.

Are there plans to add file writing support directly to the {{bson_writer}} interface as the docs seem to indicate, and if so, would this kind of incremental writing of documents be supported?  This seems like a basic requirement for anyone who wants to emit larger documents with nested sub-documents.",Bug,Docs|libbson,,
66,RUBY-1987,https://jira.mongodb.org/browse/RUBY-1987,avoidable_by_spec_conformance,command-monitoring|cursors,medium,Bug in command-monitoring,driver_spec_nonconformance,,No command monitoring events for getMore on 2.6 server,"It appears that when running against a 2.6 server, using OP_GET_MORE op codes, the driver does not surface any command monitoring events for the getMore operations that are being sent.

https://github.com/mongodb/specifications/blob/master/source/find_getmore_killcursors_commands.rst says getMore command was added in 3.2, therefore I expect this issue to affect 2.6 and 3.0 servers.",Bug,,,Related:RUBY-1980
67,CSHARP-3428,https://jira.mongodb.org/browse/CSHARP-3428,cross_driver_inconsistency,,low,Default rationale,not_relevant,,Week start parameter for $dateDiff aggregation expression,,Improvement,LINQ,,Depends:DRIVERS-1559|Related:CSHARP-3343
68,RUBY-3062,https://jira.mongodb.org/browse/RUBY-3062,cross_driver_inconsistency,csfle,high,Links to DRIVERS-2377; GCP KMS feature alignment.,not_relevant,,Add support for GCP attached service accounts when using GCP KMS,"This ticket was split from {{DRIVERS-2377}}, please see that ticket for a detailed description. ",Improvement,Client Side Encryption,,Issue split:DRIVERS-2377
69,CDRIVER-2134,https://jira.mongodb.org/browse/CDRIVER-2134,cross_driver_inconsistency,,medium,references behavior in another driver,not_relevant,,Coverity analysis defect 49582: Operands don't affect result,"An operation with non-constant operands that computes a result with constant value

Defect 49582 (STATIC_C)
  Checker CONSTANT_EXPRESSION_RESULT (subcategory result_independent_of_operands)
  File:  {{/src/mongoc/mongoc-stream-gridfs.c}}
  Function {{_mongoc_stream_gridfs_readv}}
    /src/mongoc/mongoc-stream-gridfs.c, line: 114
    {color:red}""timeout_msec <= 2147483647"" is always true regardless of the values of its operands. This occurs as the logical operand of ""!"".{color} 
{code:first-line=114}
       BSON_ASSERT (timeout_msec <= INT_MAX);
{code}

",Bug,,,Related:CDRIVER-852
70,JAVA-1888,https://jira.mongodb.org/browse/JAVA-1888,avoidable_by_spec_conformance,sdam|crud,medium,Touches sdam.,test_infrastructure,,Update SDAM tests to latest,Update to the latest tests.,Improvement,,,
71,PHPC-895,https://jira.mongodb.org/browse/PHPC-895,avoidable_by_spec_conformance,bson,low,Touches spec area but signal unclear.,driver_spec_nonconformance,,Require 16-byte data length for Binary UUID subtypes 0x03 and 0x04,The legacy driver [throws an exception|https://github.com/mongodb/mongo-php-driver-legacy/blob/1.6.14/types/bin_data.c#L37] from the constructor if the subtype is 0x04 and the data payload is not exactly 16 bytes.,Bug,,,Related:SWIFT-140|Related:DOCS-1543
72,CDRIVER-1533,https://jira.mongodb.org/browse/CDRIVER-1533,cross_driver_inconsistency,,medium,References other driver behavior.,not_relevant,,mongoc_client_get_server_descriptions can return NULLs,"The 1.4.0 function mongoc_client_get_server_descriptions is supposed to return an array of server description pointers and the number of pointers, ""n"". It omits server descriptions of ""unknown"" type.

But, instead of tightly packing pointers to known-type server descriptions, it instead leaves NULL pointers in the returned array. For example, if there are 2 known servers and 1 unknown server, mongoc_client_get_server_descriptions is supposed to return:
{code}
[known server, known server, NULL]
n=2
{code}
... instead, it returns:
{code}
[known server, NULL, known server]
n=2
{code}
This could crash the caller, which doesn't expect any NULLs. If the caller doesn't crash, it still gets incorrect results, because n=2 is supposed to mean that the first two array elements are server description pointers. If the caller gets far enough to call mongoc_server_descriptions_destroy_all, it will crash there.

The unreleased new 1.5.0 function mongoc_topology_description_get_servers has the same bug.",Bug,libmongoc,,Related:CDRIVER-1091
73,CDRIVER-6019,https://jira.mongodb.org/browse/CDRIVER-6019,not_relevant,,medium,No spec-related content identified.,not_relevant,,Improve error messages from Windows APIs,Tracks: https://github.com/mongodb/mongo-c-driver/pull/2020,Improvement,,,
74,CSHARP-2995,https://jira.mongodb.org/browse/CSHARP-2995,cross_driver_inconsistency,,low,References another driver; insufficient detail to classify further.,not_relevant,,BsonClassMap.LookupClassMap supports private constructors inconsistently (regression),"The user's email:
{noformat}Ello 
After upgrading the c# mongo driver from 2.10.1 to 2.10.2, I noticed that classes that deserialised without issues suddenly stopped working, resulting in exceptions about incorrect creator maps. Has something changed with this patch?
The class I'm deserialising has a private, parameterless constructor, and a public constructor with 4 arguments. I get the following exception since the patch:
Creator map for class Nallian.CargoFlow.UseCase.Models.Mawb.PiecesDetail has 4 arguments, but none are configured.
Any ideas what has gone wrong? I don't see documented changes regarding the mapping, might the change be unintended? Moving back to 2.10.1 has resolved the issue again, leading me to believe there's something with the most recent patch.
Kind regards, Anthony{noformat}


 

 ",Bug,Serialization,,Related:CSHARP-4112
75,NODE-6370,https://jira.mongodb.org/browse/NODE-6370,avoidable_by_spec_conformance,cmap|crud,low,"bulkWrite hangs and connection not returned to pool, plausibly a CMAP-related bug.",not_relevant,,"bulkWrite does not resolve after update, and connection not returned to pool","Our issue has been ongoing for several versions now and have not been able to go beyond 5.9.2 version of the driver. I believe it is the same as NODE-6166 which was closed without finding the issue.

We have both `find` and `bulkWrite` operations that will behave similarly. We only see the issue in production, and it occurs roughly 1 in 3,000 of our updates, and each of those updates involves 4 or 5 bulkWrite operations. We have moderately heavy load, running about ~4,000 updates per second across all nodes, which is about 40/s on each node.

Seemingly randomly, those operations never return, but there is no active connection to the db server. I have viewed internals, and a connection from the connection pool is in use for each of the updates that hang. I believe the problem must be in the reading of the response on the socket, but this driver code has changed so much since 5.9.2 it is very difficult to know what it could be.

We are connected to Atlas with a 3 replica cluster. No unusual activity on server shows in monitoring. Although random and rare relative to the number of updates, it is easy to reproduce when making many updates, although I have not been able to reproduce locally with simulated load testing.

The server is running v5.",Bug,Connection Layer,external-user,Related:NODE-6166
76,JAVA-3487,https://jira.mongodb.org/browse/JAVA-3487,driver_spec_nonconformance,change-streams|command-monitoring|crud|cursors|sessions,low,Spec area: change-streams,not_relevant,,com.mongodb.MongoException: state should be: open when closing an change stream,"When running this small main method i get an exception

 
{code:java}
public static void main(String[] args) throws InterruptedException {	
         MongoClient mongoClient = MongoClients.create(""mongodb://localhost"");
	MongoDatabase db = mongoClient.getDatabase(""import"");
	MongoCollection<Document> gameEntityCollection = db.getCollection(""gameEnitites"");
	gameEntityCollection.watch().subscribe(new Subscriber<ChangeStreamDocument<Document>>() {		@Override
		public void onSubscribe(Subscription s) {
			s.request(1);
			new Thread(() -> {
				try {
					Thread.sleep(100);
					s.cancel();
				} catch (InterruptedException e) {
					e.printStackTrace();
				}
			}).start();
		}		@Override
		public void onNext(ChangeStreamDocument<Document> t) {
		}		@Override
		public void onError(Throwable t) {
		}		@Override
		public void onComplete() {
		}
	});	Thread.sleep(10000);
}
{code}

{code}
com.mongodb.MongoException: state should be: open
	at com.mongodb.MongoException.fromThrowableNonNull(MongoException.java:79)
	at com.mongodb.async.client.AbstractSubscription.onError(AbstractSubscription.java:135)
	at com.mongodb.async.client.MongoIterableSubscription$2.onResult(MongoIterableSubscription.java:93)
	at com.mongodb.async.client.MongoIterableSubscription$2.onResult(MongoIterableSubscription.java:85)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$3.onResult(AsyncChangeStreamBatchCursor.java:133)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$3.onResult(AsyncChangeStreamBatchCursor.java:129)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$4.onResult(AsyncChangeStreamBatchCursor.java:168)
	at com.mongodb.operation.AsyncChangeStreamBatchCursor$4.onResult(AsyncChangeStreamBatchCursor.java:159)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.operation.AsyncQueryBatchCursor$CommandResultSingleResultCallback.onResult(AsyncQueryBatchCursor.java:331)
	at com.mongodb.operation.AsyncQueryBatchCursor$CommandResultSingleResultCallback.onResult(AsyncQueryBatchCursor.java:310)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.internal.connection.DefaultServer$DefaultServerProtocolExecutor$2.onResult(DefaultServer.java:242)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.internal.connection.CommandProtocolImpl$1.onResult(CommandProtocolImpl.java:83)
	at com.mongodb.internal.connection.DefaultConnectionPool$PooledConnection$1.onResult(DefaultConnectionPool.java:467)
	at com.mongodb.internal.connection.UsageTrackingInternalConnection$2.onResult(UsageTrackingInternalConnection.java:111)
	at com.mongodb.internal.async.ErrorHandlingResultCallback.onResult(ErrorHandlingResultCallback.java:49)
	at com.mongodb.internal.connection.InternalStreamConnection$2$1.onResult(InternalStreamConnection.java:401)
	at com.mongodb.internal.connection.InternalStreamConnection$2$1.onResult(InternalStreamConnection.java:376)
	at com.mongodb.internal.connection.InternalStreamConnection$MessageHeaderCallback$MessageCallback.onResult(InternalStreamConnection.java:677)
	at com.mongodb.internal.connection.InternalStreamConnection$MessageHeaderCallback$MessageCallback.onResult(InternalStreamConnection.java:644)
	at com.mongodb.internal.connection.InternalStreamConnection$5.completed(InternalStreamConnection.java:514)
	at com.mongodb.internal.connection.InternalStreamConnection$5.completed(InternalStreamConnection.java:511)
	at com.mongodb.internal.connection.AsynchronousChannelStream$BasicCompletionHandler.completed(AsynchronousChannelStream.java:220)
	at com.mongodb.internal.connection.AsynchronousChannelStream$BasicCompletionHandler.completed(AsynchronousChannelStream.java:203)
	at java.base/sun.nio.ch.Invoker.invokeUnchecked(Invoker.java:127)
	at java.base/sun.nio.ch.Invoker.invokeUnchecked(Invoker.java:282)
	at java.base/sun.nio.ch.WindowsAsynchronousSocketChannelImpl$ReadTask.completed(WindowsAsynchronousSocketChannelImpl.java:581)
	at java.base/sun.nio.ch.Iocp$EventHandlerTask.run(Iocp.java:387)
	at java.base/sun.nio.ch.AsynchronousChannelGroupImpl$1.run(AsynchronousChannelGroupImpl.java:112)
	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
	at java.base/java.lang.Thread.run(Thread.java:835)
Caused by: java.lang.IllegalStateException: state should be: open
	at com.mongodb.assertions.Assertions.isTrue(Assertions.java:70)
	at com.mongodb.internal.session.BaseClientSessionImpl.advanceOperationTime(BaseClientSessionImpl.java:107)
	at com.mongodb.internal.session.ClientSessionContext.advanceOperationTime(ClientSessionContext.java:70)
	at com.mongodb.internal.connection.ClusterClockAdvancingSessionContext.advanceOperationTime(ClusterClockAdvancingSessionContext.java:76)
	at com.mongodb.internal.connection.InternalStreamConnection.updateSessionContext(InternalStreamConnection.java:537)
	at com.mongodb.internal.connection.InternalStreamConnection.access$800(InternalStreamConnection.java:76)
	at com.mongodb.internal.connection.InternalStreamConnection$2$1.onResult(InternalStreamConnection.java:385)
	... 15 common frames omitted
{code}

it seem to occour when in `AsyncChangeStreamBatchCursor.close` 
`wrapped.close();` and `binding.release();` is called to fast one after the other. When i wait a bit with my debugger on `wrapped.close();` and then resume the exception does not occour.",Bug,API,,Related:JAVA-3938
77,JAVA-5901,https://jira.mongodb.org/browse/JAVA-5901,avoidable_by_spec_conformance,wire-protocol,medium,ByteBuf.release() timing issue with Netty and GC.,not_relevant,,LEAK : ByteBuf.release was not called,"under mongo-java-driver : 5.5.1, netty : 4.1.122-FINAL, jdk24 + ZGC
i can see such an error like below from time to time.
as i see, i can be timing issue.
for normal state, ByteBuf is read completely -> released -> GC collects
however, sometimes ByteBuf is read completely -> GC collects > released : this is ERROR!
can i get any suggestion or advice?

[related linkl|https://github.com/netty/netty/issues/15388]

{code}

LEAK: ByteBuf.release() was not called before it's garbage-collected. See https://netty.io/wiki/reference-counted-objects.html for more information.
Recent access records: 
Created at:
    io.netty.buffer.AbstractByteBufAllocator.compositeDirectBuffer(AbstractByteBufAllocator.java:224)
    io.netty.buffer.AbstractByteBufAllocator.compositeBuffer(AbstractByteBufAllocator.java:202)
    com.mongodb.internal.connection.netty.NettyStream.readAsync(NettyStream.java:301)
    com.mongodb.internal.connection.netty.NettyStream.handleReadResponse(NettyStream.java:361)
    com.mongodb.internal.connection.netty.NettyStream.access$900(NettyStream.java:115)
    com.mongodb.internal.connection.netty.NettyStream$InboundBufferHandler.channelRead0(NettyStream.java:437)
    com.mongodb.internal.connection.netty.NettyStream$InboundBufferHandler.channelRead0(NettyStream.java:434)
    io.netty.channel.SimpleChannelInboundHandler.channelRead(SimpleChannelInboundHandler.java:99)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:444)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:420)
    io.netty.channel.AbstractChannelHandlerContext.fireChannelRead(AbstractChannelHandlerContext.java:412)
    io.netty.channel.DefaultChannelPipeline$HeadContext.channelRead(DefaultChannelPipeline.java:1357)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:440)
    io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead(AbstractChannelHandlerContext.java:420)
    io.netty.channel.DefaultChannelPipeline.fireChannelRead(DefaultChannelPipeline.java:868)
    io.netty.channel.nio.AbstractNioByteChannel$NioByteUnsafe.read(AbstractNioByteChannel.java:166)
    io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:796)
    io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:732)
    io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:658)
    io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:562)
    io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:998)
    io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
    io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
    java.base/java.lang.Thread.run(Unknown Source)

{code}",Bug,Wire Protocol,,Problem/Incident:JAVA-6107|Related:JAVA-6038|Related:JAVA-6027|Related:JAVA-5982
78,PYTHON-834,https://jira.mongodb.org/browse/PYTHON-834,not_relevant,,medium,Not about spec conformance,not_relevant,,option to disable hostname validation during CA validation,"There are circumstances where you still require a CA to validate that your key and cert are valid, but forgo verifying that the hostname matches the CN.

This is already done in TxMongo which uses Twisted's SSL Context Factory to achieve the same thing.

Example of use-case (outside of MongoDB):
http://www.symantec.com/business/support/index?page=content&id=TECH141351",Improvement,,,
79,GODRIVER-2565,https://jira.mongodb.org/browse/GODRIVER-2565,not_relevant,,low,Insufficient detail to classify.,driver_spec_nonconformance,,Context cancelation before transaction commit does not abort,"The title of this ticket is my best guess at what's happening in the following situation :). (This came from [this slack conversation|https://mongodb.slack.com/archives/C7WJZNUTA/p1664474654586019]). See the attached test; occasionally, the test will loop continuously in the second transaction as the first transaction has not properly aborted its identical write server-side. I believe this is because we do not run {{AbortTransaction}} correctly when {{CommitTransaction}} encounters a context cancelation, but I'm not exactly sure. This requires further investigation and even if the aforementioned theory is correct, we need a more consistent regression test.",Bug,,,Problem/Incident:BAAS-17083|Related:DRIVERS-2471|Related:GODRIVER-2997
80,JAVA-5408,https://jira.mongodb.org/browse/JAVA-5408,not_relevant,connection-string|logging,medium,CI/infrastructure,not_relevant,,Remove GraalVM reachability metadata specific to org.mongodb:mongodb-crypt from :driver-core,"When {{org.mongodb:mongodb-crypt}} with the changes made in JAVA-5407 is released, and MongoDB Java driver depends on that new version, we should remove the reachability metadata that was added in JAVA-5407 to {{org.mongodb:mongodb-crypt}} from {{:driver-core}} (for example, the whole {{driver-core/src/main/resources/META-INF/native-image/jni-config.json}} was copied to {{org.mongodb:mongodb-crypt}} and should be removed from {{:driver-core}}).

*Important*: despite the following metadata entries having been added to {{bindings/java/mongocrypt/src/main/resources/META-INF/native-image/reflect-config.json}} in {{org.mongodb:mongodb-crypt}}, they must remain in {{:driver-core}}, because they are also used by {{:driver-core}}
{noformat}
{
  ""name"":""sun.security.provider.NativePRNG"",
  ""methods"":[{""name"":""<init>"",""parameterTypes"":[] }, {""name"":""<init>"",""parameterTypes"":[""java.security.SecureRandomParameters""] }]
}
{noformat}
{noformat}
{
  ""name"":""org.slf4j.Logger""
}
{noformat}",Improvement,GraalVM,,Depends:JAVA-5407|Gantt End to End:JAVA-5219|Related:JAVA-3537
